DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,407.9,414.2,404.1,407.1,96690,40.28
2025-04-15,415.0,423.75,412.05,421.35,103172,47.19
2025-04-16,423.9,438.9,422.75,433.5,146926,37.82
2025-04-17,433.5,447.9,425.1,436.6,243715,25.65
2025-04-21,435.0,444.45,433.15,438.45,120061,40.43
2025-04-22,440.2,455.0,436.85,451.65,246752,44.29
2025-04-23,464.4,474.6,455.1,457.1,526392,26.05
2025-04-24,456.0,467.0,451.85,462.95,146062,36.82
2025-04-25,464.0,469.9,441.55,445.55,260141,31.0
2025-04-28,446.9,459.25,430.5,435.7,229624,41.63
2025-04-29,439.0,443.35,434.1,439.65,82870,41.39
2025-04-30,440.05,440.05,429.0,432.05,124524,63.01
2025-05-02,430.65,441.5,424.3,437.15,85598,38.7
2025-05-05,438.75,440.5,433.9,439.05,53734,31.8
2025-05-06,439.05,442.9,425.1,429.6,65164,37.42
2025-05-07,423.0,452.9,417.0,441.65,308500,20.47
2025-05-08,444.1,473.35,437.4,460.1,553425,31.19
2025-05-09,442.5,466.0,442.5,461.05,266253,27.34
2025-05-12,472.0,478.9,466.0,468.1,186243,41.03
2025-05-13,466.6,486.65,466.6,478.8,217009,41.76
2025-05-14,481.8,499.0,477.6,495.75,327978,38.73
2025-05-15,497.8,517.7,496.7,514.0,296443,47.61
2025-05-16,512.9,521.85,501.9,506.2,131351,41.33
2025-05-19,507.95,516.95,506.3,513.95,77216,42.57
2025-05-20,519.7,519.7,500.0,502.1,90544,36.64
2025-05-21,502.1,514.7,501.3,512.45,72899,48.8
2025-05-22,505.0,512.45,500.0,503.65,45015,43.51
2025-05-23,506.85,511.95,501.85,506.4,53742,45.13
2025-05-26,508.5,517.7,506.4,509.45,67659,49.64
2025-05-27,511.0,514.85,500.0,507.25,58963,36.59
2025-05-28,514.7,514.7,499.95,506.35,77817,41.35
2025-05-29,508.7,520.0,492.0,512.15,628803,31.03
2025-05-30,514.5,550.0,508.15,528.65,913180,22.42
2025-06-02,530.0,558.85,525.05,552.05,894571,21.01
2025-06-03,553.9,556.0,537.0,541.5,159015,42.25
2025-06-04,540.0,558.0,534.15,545.75,309586,33.09
2025-06-05,544.8,555.95,544.8,550.0,154000,34.94
2025-06-06,552.0,555.5,544.25,550.0,191310,30.16
2025-06-09,553.95,564.9,548.5,551.95,284352,28.46
2025-06-10,554.2,555.75,541.8,544.75,140432,53.63
2025-06-11,552.0,561.6,547.1,553.25,229482,43.41
2025-06-12,552.0,559.95,538.05,540.8,142005,50.42
2025-06-13,533.7,544.9,527.95,535.8,114809,37.85
2025-06-16,536.5,554.8,526.8,548.3,158806,40.3
2025-06-17,549.0,565.0,543.0,550.0,266750,42.99
2025-06-18,549.0,575.75,547.65,556.5,488313,30.53
2025-06-19,560.0,565.7,538.7,548.25,171542,33.26
2025-06-20,549.0,570.0,545.05,563.9,259461,38.15
2025-06-23,562.0,562.95,542.6,544.95,134709,42.29
2025-06-24,548.45,552.95,543.0,545.0,116744,36.22
2025-06-25,549.45,577.0,546.85,572.9,392092,40.44
2025-06-26,574.95,584.9,568.0,580.85,398782,31.17
2025-06-27,582.0,588.9,567.85,571.0,203893,41.0
2025-06-30,572.7,576.9,563.0,567.65,133159,48.55
2025-07-01,569.75,578.8,567.95,570.05,217456,44.98
2025-07-02,572.35,573.2,561.85,567.0,104027,44.31
2025-07-03,568.8,576.9,563.2,564.8,101687,50.76
2025-07-04,563.1,570.4,557.65,568.6,84630,41.0
2025-07-07,568.5,573.0,553.65,570.4,124913,49.45
2025-07-08,570.2,570.2,554.0,557.3,111252,46.51
2025-07-09,555.0,561.95,546.0,558.7,499845,70.59
2025-07-10,558.95,577.35,558.95,565.95,301922,28.29
2025-07-11,567.5,569.95,557.2,561.0,105066,32.25
2025-07-14,567.9,567.9,549.25,551.45,82923,45.3
2025-07-15,558.0,578.0,557.4,571.3,625649,62.27
2025-07-16,568.4,576.1,561.15,567.3,126678,38.94
2025-07-17,569.75,574.05,565.7,570.35,93797,50.69
2025-07-18,571.45,572.9,557.4,559.25,53093,55.59
2025-07-21,564.85,564.85,550.25,554.3,78945,50.41
2025-07-22,555.65,559.0,548.2,550.85,62207,57.55
2025-07-23,549.0,556.05,544.1,554.35,80708,47.26
2025-07-24,554.0,558.4,545.1,548.0,92488,39.74
2025-07-25,551.0,553.25,535.0,538.4,70250,52.41
2025-07-28,538.0,544.0,523.05,524.9,77237,44.35
2025-07-29,524.0,537.9,522.05,534.85,71550,45.49
2025-07-30,535.9,538.9,526.6,536.25,223677,77.31
2025-07-31,536.0,548.1,529.25,536.95,105688,42.58
2025-08-01,535.0,545.65,521.2,523.4,98743,44.76
2025-08-04,526.1,527.6,514.05,516.0,110113,58.75
2025-08-05,516.5,545.0,516.5,540.55,230380,30.46
2025-08-06,540.0,542.0,525.25,528.3,176590,64.07
2025-08-07,527.8,579.9,513.45,554.05,1124676,18.06
2025-08-08,558.5,568.95,505.8,510.95,452036,36.51
2025-08-11,510.55,525.0,501.45,522.35,197541,33.94
2025-08-12,520.2,521.95,515.9,519.65,87399,60.22
2025-08-13,525.0,525.0,508.0,510.5,82738,50.66
2025-08-14,511.5,523.0,511.3,519.85,113287,41.51
2025-08-18,524.8,544.45,520.05,540.25,161750,52.48
2025-08-19,540.0,552.35,535.7,544.15,109006,39.48
2025-08-20,545.8,555.55,544.55,553.2,84711,48.63
2025-08-21,553.2,558.2,549.2,551.0,58625,49.61
