DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1405.0,1435.3,1360.0,1378.1,647397,32.79
2025-04-15,1381.2,1395.7,1369.0,1376.9,1172653,71.71
2025-04-16,1377.1,1383.0,1345.1,1356.8,557335,43.02
2025-04-17,1368.2,1376.8,1336.0,1342.4,613374,43.12
2025-04-21,1359.0,1373.4,1336.3,1368.8,2163528,77.9
2025-04-22,1374.5,1408.0,1359.6,1390.8,844434,50.83
2025-04-23,1400.2,1415.0,1382.0,1412.5,1462811,61.48
2025-04-24,1419.0,1438.9,1399.0,1420.9,1391087,56.13
2025-04-25,1421.2,1434.4,1355.0,1360.7,664046,46.13
2025-04-28,1360.0,1417.0,1359.9,1407.6,504860,48.65
2025-04-29,1415.0,1416.5,1380.0,1384.4,314711,45.95
2025-04-30,1384.4,1406.6,1372.0,1381.2,694501,65.33
2025-05-02,1381.2,1397.2,1359.0,1375.0,743468,62.48
2025-05-05,1365.0,1409.0,1365.0,1406.4,829959,63.52
2025-05-06,1444.0,1444.0,1378.1,1405.9,1568425,49.0
2025-05-07,1385.0,1441.9,1385.0,1435.1,617241,51.99
2025-05-08,1435.2,1450.6,1408.3,1418.9,511630,53.91
2025-05-09,1395.0,1414.2,1382.9,1398.2,479965,52.9
2025-05-12,1377.1,1393.0,1355.4,1381.7,709514,35.13
2025-05-13,1383.7,1428.5,1383.7,1417.4,758590,50.54
2025-05-14,1423.0,1449.7,1407.1,1442.9,435321,44.33
2025-05-15,1442.9,1461.8,1433.1,1447.0,405442,47.98
2025-05-16,1441.0,1463.4,1431.0,1448.6,319597,40.51
2025-05-19,1454.0,1471.1,1425.0,1438.5,481421,54.41
2025-05-20,1438.5,1457.6,1422.9,1436.2,860650,59.19
2025-05-21,1428.1,1464.1,1427.1,1440.1,399837,45.51
2025-05-22,1427.4,1439.7,1417.2,1431.4,342931,53.18
2025-05-23,1432.8,1439.0,1409.2,1420.2,487214,49.19
2025-05-26,1370.0,1430.0,1370.0,1390.1,2125417,37.58
2025-05-27,1390.0,1404.1,1378.2,1385.0,378280,41.74
2025-05-28,1382.0,1409.5,1375.6,1380.0,835182,61.56
2025-05-29,1385.0,1424.0,1380.0,1406.4,1057291,56.53
2025-05-30,1415.0,1466.0,1408.1,1457.1,1334384,49.81
2025-06-02,1457.2,1502.5,1448.5,1497.5,908496,44.02
2025-06-03,1520.0,1528.0,1473.3,1514.0,2598096,43.98
2025-06-04,1514.0,1523.4,1500.4,1512.8,1536543,67.65
2025-06-05,1512.8,1589.5,1512.8,1584.8,2290396,44.25
2025-06-06,1584.0,1598.1,1563.9,1590.2,940297,48.38
2025-06-09,1590.2,1610.9,1589.0,1599.2,945368,54.36
2025-06-10,1606.0,1630.0,1594.5,1615.6,736075,41.38
2025-06-11,1611.2,1641.3,1589.0,1635.4,996326,57.15
2025-06-12,1639.9,1662.3,1632.6,1639.6,858855,48.81
2025-06-13,1605.0,1674.0,1605.0,1669.9,937744,49.09
2025-06-16,1683.8,1687.5,1656.0,1683.4,716274,53.93
2025-06-17,1675.1,1685.6,1642.0,1653.2,1542907,58.83
2025-06-18,1645.0,1664.2,1637.4,1660.4,990393,59.63
2025-06-19,1660.8,1661.6,1631.9,1639.2,772902,62.18
2025-06-20,1633.9,1645.5,1625.0,1636.7,1156671,74.83
2025-06-23,1636.0,1708.7,1630.1,1684.8,1926596,40.67
2025-06-24,1691.0,1703.7,1674.6,1683.1,1352660,53.67
2025-06-25,1689.0,1729.0,1680.4,1717.1,1332966,42.97
2025-06-26,1719.0,1743.6,1709.3,1732.0,823973,34.17
2025-06-27,1728.0,1738.0,1706.8,1711.2,1140912,71.19
2025-06-30,1719.9,1758.2,1715.4,1753.8,925571,46.65
2025-07-01,1752.2,1764.0,1740.1,1754.3,447785,40.87
2025-07-02,1753.0,1776.9,1743.2,1770.0,505076,41.76
2025-07-03,1767.9,1786.4,1761.1,1783.5,442412,42.45
2025-07-04,1778.1,1843.3,1775.0,1830.4,814811,35.22
2025-07-07,1836.1,1879.4,1826.1,1860.1,1098035,37.22
2025-07-08,1860.1,1862.0,1822.1,1830.5,1474482,69.64
2025-07-09,1826.0,1832.9,1792.6,1818.8,1213272,59.67
2025-07-10,1821.9,1920.0,1813.1,1904.0,3420276,26.41
2025-07-11,2094.4,2284.8,2094.4,2181.1,15680321,33.37
2025-07-14,2170.1,2229.0,2138.5,2219.2,3573890,26.04
2025-07-15,2205.1,2233.9,2170.4,2226.1,1666264,39.21
2025-07-16,2220.0,2247.7,2196.1,2204.8,1495509,42.06
2025-07-17,2221.0,2266.0,2179.0,2226.7,3288766,22.57
2025-07-18,2224.9,2254.9,2194.5,2225.5,1272680,39.73
2025-07-21,2227.9,2237.8,2176.7,2184.8,1650355,64.88
2025-07-22,2190.1,2200.9,2149.2,2157.9,1543453,63.81
2025-07-23,2151.0,2164.5,2130.0,2138.8,1424554,65.7
2025-07-24,2142.0,2158.9,2125.0,2144.2,744286,52.84
2025-07-25,2145.0,2166.1,2132.0,2145.3,1095311,55.12
2025-07-28,2147.0,2177.0,2136.5,2144.4,1270504,51.19
2025-07-29,2140.0,2165.8,2120.0,2158.0,1066676,57.06
2025-07-30,2160.0,2169.9,2144.5,2153.6,786091,60.31
2025-07-31,2121.0,2177.7,2114.7,2134.1,994348,45.24
2025-08-01,2133.0,2133.0,2053.7,2067.8,1484724,49.4
2025-08-04,2067.8,2098.0,2056.4,2074.9,702572,55.25
2025-08-05,2074.9,2077.8,2031.5,2052.6,429624,35.7
2025-08-06,2040.0,2045.0,2005.1,2025.6,891973,38.86
2025-08-07,2017.0,2070.4,2014.9,2062.8,487155,28.09
2025-08-08,2065.0,2065.0,2014.0,2019.6,297540,42.68
2025-08-11,2018.1,2064.0,2011.4,2049.3,544574,49.28
2025-08-12,2049.3,2073.9,2035.2,2058.2,385694,38.44
2025-08-13,2067.0,2069.3,2023.0,2029.3,466373,53.23
2025-08-14,2039.3,2052.8,2017.0,2044.6,986277,62.15
2025-08-18,2009.9,2042.9,1947.0,1973.9,1730646,44.55
2025-08-19,1975.0,1979.8,1929.0,1945.8,976629,47.45
2025-08-20,1949.0,1960.9,1918.3,1924.0,1227980,76.05
2025-08-21,1924.0,1963.8,1901.1,1940.9,890032,44.26
2025-08-22,1940.9,1959.5,1930.0,1937.3,466930,52.76
2025-08-25,1940.9,1964.0,1933.0,1956.1,531826,53.68
2025-08-26,1956.5,1976.0,1935.3,1950.7,1148175,58.29
2025-08-28,1957.9,1960.2,1932.0,1936.9,481992,57.77
2025-08-29,1936.0,1947.8,1910.7,1923.9,239914,48.46
2025-09-01,1918.1,1938.8,1904.0,1926.8,415464,52.81
2025-09-02,1926.9,1941.9,1910.6,1918.8,253254,50.2
2025-09-03,1938.0,2009.0,1929.0,2004.4,1381575,34.43
2025-09-04,2025.0,2026.4,1979.6,1990.9,493159,43.09
2025-09-05,1990.9,2055.2,1990.9,2051.9,977419,28.77
2025-09-08,2062.0,2075.9,2034.6,2051.9,842874,46.27
2025-09-09,2073.0,2119.9,2062.0,2116.3,1269358,37.58
2025-09-10,2112.0,2135.0,2104.0,2130.9,773741,59.48
2025-09-11,2132.5,2146.3,2083.6,2127.7,737140,46.65
2025-09-12,2128.0,2156.9,2117.3,2132.5,615392,60.76
2025-09-15,2127.0,2127.0,2090.0,2099.5,546804,49.87
2025-09-16,2099.5,2148.7,2062.1,2077.0,578050,49.61
2025-09-17,2084.9,2084.9,2034.9,2042.4,567155,61.53
2025-09-18,2049.9,2116.0,2049.9,2108.4,1114841,46.87
2025-09-19,2116.0,2119.0,2078.2,2085.2,686651,59.12
2025-09-22,2094.0,2103.4,2006.2,2017.8,710308,43.63
2025-09-23,2020.5,2048.0,2010.5,2016.8,413502,45.67
2025-09-24,2016.8,2050.2,2004.2,2018.6,651958,60.45
