DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,377.45,378.0,370.0,376.77,344572,63.69
2025-04-15,381.0,390.0,377.31,389.07,237592,64.97
2025-04-16,385.8,385.8,377.55,380.43,321188,66.35
2025-04-17,381.26,385.7,376.9,377.4,225512,59.56
2025-04-21,387.0,394.99,373.0,374.93,218841,71.21
2025-04-22,379.69,379.8,373.45,377.17,163592,76.2
2025-04-23,384.71,386.7,378.5,379.3,285058,70.38
2025-04-24,377.78,379.45,374.71,375.04,202577,78.37
2025-04-25,378.87,379.77,364.28,374.6,223872,55.68
2025-04-28,382.99,382.99,373.0,374.73,131447,61.46
2025-04-29,371.55,379.99,369.55,371.09,156888,59.9
2025-04-30,378.99,378.99,365.07,367.8,122974,58.15
2025-05-02,377.0,377.0,367.0,370.87,243068,66.61
2025-05-05,373.6,376.99,369.42,374.64,107097,65.21
2025-05-06,379.63,379.63,365.0,375.5,71694,68.24
2025-05-07,385.0,385.0,375.0,378.39,105981,65.65
2025-05-08,383.69,383.69,376.0,376.92,100719,63.1
2025-05-09,369.01,379.43,369.01,375.89,72029,59.3
2025-05-12,378.98,400.5,370.5,398.56,676785,74.94
2025-05-13,393.54,397.98,390.01,395.54,170404,65.07
2025-05-14,396.0,404.5,395.54,402.94,192584,75.11
2025-05-15,402.94,404.64,395.12,398.01,173347,65.81
2025-05-16,397.43,397.43,393.0,393.82,175567,65.11
2025-05-19,405.63,405.64,389.2,390.93,144410,59.94
2025-05-20,395.89,397.09,392.88,394.61,121916,67.1
2025-05-21,395.36,399.93,395.33,398.29,122021,77.37
2025-05-22,397.85,397.85,392.95,394.05,93708,65.87
2025-05-23,395.8,396.38,390.5,393.19,167495,71.15
2025-05-26,393.19,393.19,386.0,388.9,226780,73.72
2025-05-27,395.05,396.95,386.07,386.8,77458,66.68
2025-05-28,386.74,387.27,383.0,385.66,119336,63.57
2025-05-29,387.59,389.94,386.05,387.67,93183,61.88
2025-05-30,385.85,389.89,383.69,387.12,99900,50.54
2025-06-02,394.98,394.98,380.0,381.47,255860,67.86
2025-06-03,391.0,394.0,383.12,384.11,82474,64.64
2025-06-04,384.3,387.8,384.3,386.53,57946,75.06
2025-06-05,393.88,393.88,382.69,386.72,100992,63.82
2025-06-06,389.79,389.79,381.0,382.02,196331,64.82
2025-06-09,391.57,391.57,382.02,382.71,187135,73.0
2025-06-10,385.8,385.8,380.1,383.88,103110,66.9
2025-06-11,393.0,393.0,384.12,387.46,149154,63.37
2025-06-12,389.74,389.74,381.5,382.94,136057,60.32
2025-06-13,381.0,384.0,378.48,382.7,129277,76.44
2025-06-16,389.98,389.98,382.5,385.75,79902,73.36
