DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-06-23,149.7,150.9,144.75,145.22,170894,66.77
2025-06-24,145.0,151.5,144.01,146.14,141099,51.69
2025-06-25,148.0,148.0,144.01,145.56,103880,64.92
2025-06-26,146.8,152.5,145.16,145.85,141000,54.02
2025-06-27,147.0,147.5,143.82,145.29,84308,55.35
2025-06-30,145.98,147.15,140.6,141.41,115712,62.93
2025-07-01,140.41,143.99,138.25,139.17,98743,63.0
2025-07-02,139.5,142.0,136.25,137.65,58796,65.98
2025-07-03,138.0,140.26,136.54,137.18,64077,50.13
2025-07-04,138.21,148.4,137.23,141.57,283510,35.01
2025-07-07,140.15,146.0,140.15,141.96,133376,36.64
2025-07-08,141.32,142.75,138.45,139.83,95177,53.43
2025-07-09,141.25,144.9,141.1,141.74,113463,44.43
2025-07-10,143.89,144.02,139.0,139.78,78302,55.01
2025-07-11,140.0,140.99,138.9,139.23,56657,61.99
2025-07-14,140.6,144.0,137.2,141.74,106781,46.13
2025-07-15,141.74,143.32,139.1,139.91,62568,64.21
2025-07-16,141.3,141.67,139.75,140.58,50971,63.87
2025-07-17,140.9,149.0,140.18,144.79,358562,37.69
2025-07-18,146.0,146.0,142.19,145.07,86913,58.43
2025-07-21,146.0,146.73,141.12,141.65,78697,50.15
2025-07-22,141.8,143.78,141.01,141.82,52506,61.98
2025-07-23,142.5,142.5,138.76,139.39,79794,62.42
2025-07-24,140.75,141.0,137.91,138.43,76923,64.98
2025-07-25,137.35,137.69,135.12,135.78,76243,61.44
2025-07-28,137.4,138.99,134.81,137.03,60486,46.89
2025-07-29,137.0,137.99,134.62,137.14,46344,50.27
2025-07-30,136.11,138.29,135.01,136.43,33254,50.23
2025-07-31,134.4,135.92,133.37,134.16,59749,59.04
2025-08-01,135.5,135.66,130.0,131.84,68924,41.91
2025-08-04,132.39,135.87,131.56,135.26,50681,49.0
2025-08-05,134.2,137.9,132.0,134.23,66891,38.51
2025-08-06,135.0,135.0,126.25,128.68,124777,50.43
2025-08-07,129.7,130.0,125.82,128.93,82211,54.6
2025-08-08,130.5,131.09,128.52,129.38,43198,60.6
2025-08-11,130.96,149.0,126.07,145.16,598337,37.39
2025-08-12,146.75,151.0,135.8,147.95,587896,43.65
2025-08-13,128.0,136.17,128.0,132.07,953094,43.02
2025-08-14,131.08,136.44,130.22,132.18,189266,40.85
2025-08-18,132.83,144.0,131.48,139.89,173876,45.27
2025-08-19,137.52,141.8,137.04,138.85,74512,54.08
2025-08-20,137.53,140.88,137.0,138.95,60167,50.87
2025-08-21,139.0,141.0,137.05,137.13,55554,59.76
2025-08-22,137.13,137.48,134.13,135.29,69212,39.9
2025-08-25,136.0,141.99,135.3,137.05,86318,56.11
2025-08-26,135.7,137.05,130.25,133.18,50341,62.68
2025-08-28,132.11,141.0,131.3,139.25,176100,45.45
2025-08-29,139.95,139.95,136.06,137.22,33955,52.6
2025-09-01,138.0,138.0,133.21,136.1,49447,62.53
2025-09-02,134.75,137.0,134.25,135.49,51964,53.46
2025-09-03,135.49,137.01,135.05,136.23,24437,64.65
2025-09-04,138.23,142.0,135.8,139.9,110221,64.54
2025-09-05,141.3,142.45,136.14,137.32,62880,57.82
2025-09-08,138.0,141.4,137.12,139.52,62615,68.2
2025-09-09,139.0,140.98,135.05,136.26,60403,55.16
2025-09-10,135.63,141.9,135.63,138.69,96625,57.85
2025-09-11,141.7,143.99,138.86,139.63,68825,59.1
2025-09-12,142.0,142.8,139.1,140.35,81515,56.5
2025-09-15,141.9,141.9,138.1,139.1,38579,66.58
2025-09-16,140.0,140.0,138.1,138.82,24573,58.2
2025-09-17,140.19,149.8,139.0,146.19,371268,38.94
2025-09-18,149.98,152.0,144.0,145.63,205609,50.18
2025-09-19,145.9,149.05,143.0,144.9,138408,57.54
2025-09-22,145.0,145.42,140.05,141.21,87455,67.04
2025-09-23,142.0,143.95,138.51,141.57,104945,42.46
2025-09-24,142.28,143.84,137.72,138.5,57090,62.34
2025-09-25,140.0,140.05,137.1,137.51,43013,55.42
2025-09-26,136.51,139.68,132.02,133.32,64116,59.38
2025-09-29,134.32,136.99,132.42,134.11,38587,52.94
2025-09-30,135.12,138.74,132.94,133.83,46586,49.97
2025-10-01,134.84,135.51,129.13,133.29,62597,48.86
2025-10-03,133.5,136.5,132.34,135.6,53018,50.81
2025-10-06,134.6,135.32,132.01,133.89,54694,50.64
2025-10-07,134.0,135.79,131.04,132.28,99809,51.54
2025-10-08,132.29,142.0,131.4,140.51,179151,50.25
2025-10-09,142.9,150.0,140.5,145.89,405755,44.35
2025-10-10,144.0,147.2,141.6,145.69,106706,52.77
2025-10-13,143.26,154.59,139.99,148.66,265403,49.07
2025-10-14,148.0,149.82,142.21,144.19,97615,58.83
2025-10-15,143.31,147.26,141.5,143.36,76588,41.77
2025-10-16,144.9,146.7,142.0,144.9,79223,54.87
2025-10-17,143.22,146.98,141.51,145.41,60552,55.36
2025-10-20,147.7,149.8,144.0,145.61,137389,45.93
2025-10-21,144.32,148.67,144.32,147.08,22398,71.83
2025-10-22,144.32,148.67,144.32,147.08,22398,71.83
2025-10-23,147.08,147.89,142.5,143.51,70614,61.31
2025-10-24,144.0,145.96,143.05,143.76,43152,77.82
2025-10-27,144.0,144.57,140.48,141.05,39660,69.63
2025-10-28,142.45,143.41,140.0,140.64,25521,47.67
2025-10-29,141.0,143.2,138.61,139.07,39962,63.76
2025-10-30,140.12,141.35,139.41,140.45,30844,66.22
2025-10-31,140.1,151.85,138.68,147.83,226750,36.19
2025-11-03,147.0,152.0,144.16,149.17,156736,47.87
2025-11-04,149.91,165.89,148.45,158.86,1478170,23.88
2025-11-05,149.91,165.89,148.45,158.86,1478170,23.88
2025-11-06,161.25,163.0,152.24,153.76,296411,35.18
2025-11-07,153.0,161.64,147.23,156.35,327584,28.51
2025-11-10,157.6,162.8,154.04,156.48,248717,40.91
2025-11-11,156.5,168.0,152.5,164.18,810023,51.61
2025-11-12,167.01,179.0,164.0,166.07,2036497,29.95
2025-11-13,166.07,166.1,151.33,154.21,597831,39.7
2025-11-14,153.43,158.75,152.21,157.05,240948,34.64
2025-11-17,157.0,163.56,150.33,152.09,297760,41.55
2025-11-18,153.0,153.31,145.81,148.38,204360,39.61
2025-11-19,148.0,156.73,145.2,150.35,310469,27.1
2025-11-20,150.95,151.55,144.56,146.53,137496,49.11
2025-11-21,144.87,145.3,140.0,141.39,137130,55.63
2025-11-24,141.39,143.8,136.5,137.26,144794,50.53
2025-11-25,137.26,141.6,136.52,139.7,104786,40.32
2025-11-26,139.0,142.11,139.0,141.17,61646,48.28
2025-11-27,143.4,143.4,137.21,138.62,71725,47.32
2025-11-28,139.1,141.94,137.7,138.78,73913,42.91
2025-12-01,140.85,140.85,137.11,138.0,57069,62.43
2025-12-02,137.2,139.34,135.85,137.98,44444,59.33
2025-12-03,139.1,139.1,135.15,135.67,41421,48.96
2025-12-04,136.35,138.06,135.22,136.3,71064,37.56
2025-12-05,136.99,137.33,133.57,134.28,57102,59.68
2025-12-08,135.0,137.41,132.21,134.34,84265,51.65
2025-12-09,134.34,142.0,132.9,139.96,151782,50.79
2025-12-10,141.35,141.48,137.9,138.92,48192,58.68
2025-12-11,139.95,141.95,136.33,141.07,59041,59.07
2025-12-12,142.0,144.0,138.85,140.97,34126,62.32
2025-12-15,142.0,143.0,138.08,140.91,71845,52.69
2025-12-16,140.91,140.91,139.02,140.09,30211,56.67
2025-12-17,141.5,146.0,138.61,140.11,33944,42.24
2025-12-18,140.11,141.43,136.08,137.45,63278,31.37
2025-12-19,137.05,138.59,137.05,137.74,23355,60.37
2025-12-22,139.8,142.99,137.41,141.86,65366,56.13
2025-12-23,142.1,147.06,136.0,145.74,199273,31.03
2025-12-24,145.0,150.0,143.35,145.46,134083,39.22
2025-12-25,145.0,150.0,143.35,145.46,134083,39.22
2025-12-26,144.15,144.93,140.52,141.08,47155,54.9
2025-12-29,140.0,141.0,138.51,139.22,51381,56.56
2025-12-30,140.35,142.89,138.16,139.08,42588,34.98
2025-12-31,139.17,141.0,138.0,140.01,53198,69.82
2026-01-01,138.7,142.57,138.51,139.37,26298,51.13
2026-01-02,140.3,143.39,139.69,142.49,67611,54.63
2026-01-05,142.4,151.0,139.5,148.26,195861,32.16
2026-01-06,148.0,148.5,144.67,147.95,88251,49.29
2026-01-07,150.2,162.4,150.2,157.86,1134702,24.96
2026-01-08,157.7,162.0,152.14,155.06,398926,36.83
2026-01-09,155.5,155.99,145.15,146.97,135827,44.89
2026-01-12,147.0,148.15,142.71,144.02,105382,52.57
2026-01-13,146.0,147.5,140.0,141.96,55055,48.16
2026-01-14,141.7,146.0,139.85,142.39,81871,34.85
2026-01-15,141.7,146.0,139.85,142.39,81871,34.85
2026-01-16,144.55,145.29,140.5,141.37,69087,53.57
2026-01-19,141.37,142.31,138.0,138.97,52760,57.24
2026-01-20,138.0,139.5,132.84,134.52,179663,57.95
2026-01-21,134.0,142.75,130.62,139.78,201936,36.2
2026-01-22,139.1,141.6,136.2,139.6,71513,52.47
2026-01-23,140.0,140.16,133.78,134.27,46576,57.86
2026-01-26,140.0,140.16,133.78,134.27,46576,57.86
2026-01-27,136.02,138.48,132.54,136.01,107542,46.88
2026-01-28,136.27,138.0,135.0,136.21,38686,39.87
2026-01-29,136.01,137.54,133.0,133.54,52444,68.11
2026-01-30,131.55,138.0,131.55,135.3,59713,60.94
2026-02-02,131.9,137.93,131.13,134.1,52301,48.25
2026-02-03,141.0,143.0,135.0,142.07,124926,56.1
2026-02-04,144.72,144.72,138.65,140.87,26575,51.2
2026-02-05,138.5,141.0,137.11,140.14,34591,59.59
2026-02-06,140.0,142.5,137.97,141.59,38282,50.01
2026-02-09,141.6,149.48,141.6,146.72,138080,43.3
2026-02-10,145.34,153.25,145.34,150.04,192577,37.43
2026-02-11,150.04,153.1,147.0,150.51,90860,56.14
2026-02-12,150.51,153.89,146.22,152.12,149010,47.04
2026-02-13,152.12,154.8,147.26,152.2,199641,45.75
2026-02-16,138.06,143.85,133.61,136.54,393241,40.65
2026-02-17,136.99,139.0,133.8,134.2,98491,57.65
2026-02-18,135.39,135.5,133.0,133.45,98927,42.58
2026-02-19,134.0,134.95,131.0,131.56,70756,51.07
2026-02-20,130.5,133.0,129.55,130.97,60369,48.41
2026-02-23,133.1,133.5,126.0,127.28,132914,49.1
2026-02-24,127.98,127.98,122.5,124.56,111884,54.89
2026-02-25,125.18,126.54,123.72,124.35,73911,58.87
2026-02-26,124.0,127.08,124.0,126.14,39976,50.03
2026-02-27,126.78,126.78,124.7,125.62,28813,57.26
2026-03-02,124.38,124.97,118.1,121.91,83012,52.32
2026-03-03,124.38,124.97,118.1,121.91,83012,52.32
2026-03-04,119.87,119.87,117.0,118.81,85554,57.33
2026-03-05,120.0,125.98,118.0,122.01,40296,61.52
2026-03-06,119.22,123.09,119.22,120.04,58952,50.65
2026-03-09,120.03,121.32,115.0,119.73,65177,63.31
2026-03-10,120.01,124.0,118.0,120.84,59516,51.17
2026-03-11,123.49,123.49,117.5,118.34,46390,50.38
2026-03-12,118.0,118.24,115.0,116.68,87569,45.21
2026-03-13,117.0,118.0,114.0,115.6,141818,40.05
2026-03-16,114.03,119.5,112.21,117.79,74779,55.81
2026-03-17,117.79,119.24,115.14,115.74,47121,51.33
2026-03-18,117.48,118.49,115.51,118.08,95567,74.15
2026-03-19,115.0,116.24,113.13,114.91,42674,63.25
2026-03-20,112.36,116.99,112.36,113.85,44017,48.21
2026-03-23,114.0,114.0,108.55,110.93,93741,57.22
2026-03-24,114.95,116.98,111.01,114.61,41397,48.58
2026-03-25,114.09,119.42,114.0,115.4,113782,45.87
2026-03-26,114.09,119.42,114.0,115.4,113782,45.87
2026-03-27,114.1,115.33,107.5,110.19,90055,61.32
2026-03-30,107.42,109.79,100.0,102.07,221172,50.03
2026-03-31,107.42,109.79,100.0,102.07,221172,50.03
2026-04-01,109.98,122.48,105.8,116.0,179064,38.08
2026-04-02,116.0,127.0,112.1,122.81,85812,54.88
2026-04-03,116.0,127.0,112.1,122.81,85812,54.88
2026-04-06,122.81,130.99,120.01,128.73,112310,45.04
2026-04-07,128.73,139.3,126.02,134.42,180024,51.89
2026-04-08,140.0,140.1,135.89,138.23,149701,43.4
2026-04-09,140.0,142.49,136.1,140.95,79253,58.82
2026-04-10,142.94,144.3,137.0,138.64,77192,61.13
2026-04-13,135.85,141.99,133.55,137.66,97958,60.69
2026-04-14,135.85,141.99,133.55,137.66,97958,60.69
2026-04-15,140.0,147.9,140.0,146.09,126633,82.09
2026-04-16,147.0,147.87,144.0,147.05,96641,73.31
2026-04-17,147.07,153.4,145.09,150.32,108004,62.2
2026-04-20,150.0,150.0,143.05,144.75,46376,70.34
2026-04-21,145.0,145.97,142.0,143.05,55989,70.96
2026-04-22,143.06,145.78,143.0,144.39,26322,57.26
2026-04-23,144.38,145.53,140.0,140.85,46804,56.29
2026-04-24,141.93,143.0,135.82,139.22,56140,49.29
2026-04-27,139.7,141.8,138.96,140.52,40125,59.95
2026-04-28,143.25,143.25,139.01,140.3,26071,55.68
2026-04-29,140.3,141.88,136.0,136.79,39914,62.65
2026-04-30,139.7,139.7,134.0,136.33,74889,61.24
2026-05-01,139.7,139.7,134.0,136.33,74889,61.24
2026-05-04,141.5,141.5,136.54,139.79,41354,59.05
2026-05-05,136.3,140.89,136.3,139.12,51166,63.53
2026-05-06,138.05,142.83,138.05,140.46,63542,53.97
2026-05-07,140.46,144.4,140.0,143.48,62626,57.96
2026-05-08,145.5,153.0,142.21,152.0,139535,57.71
2026-05-11,149.7,149.7,140.0,144.75,211933,54.61
2026-05-12,143.94,143.94,132.45,133.8,235325,50.93
2026-05-13,131.0,134.93,126.1,130.97,141407,48.05
2026-05-14,130.98,134.97,128.0,130.42,68033,59.89
2026-05-15,130.0,131.84,123.01,124.82,129377,53.74
2026-05-18,124.2,125.59,121.3,124.57,50940,57.04
2026-05-19,125.0,127.19,123.0,123.52,36402,54.52
2026-05-20,122.5,126.9,121.44,124.55,28744,55.07
2026-05-21,126.73,127.0,124.47,125.57,38234,55.36
2026-05-22,124.85,126.39,122.01,123.76,38070,58.88
2026-05-25,124.0,125.79,123.0,124.09,49954,63.52
2026-05-26,122.6,125.78,119.81,124.29,100311,47.6
2026-05-27,125.0,125.32,121.15,122.45,63165,55.47
2026-05-28,125.0,125.32,121.15,122.45,63165,55.47
2026-05-29,121.0,128.89,121.0,124.35,93840,46.08
2026-06-01,125.3,126.5,123.12,125.0,55424,69.71
2026-06-02,123.5,128.0,123.5,125.44,38182,51.35
2026-06-03,126.98,126.98,122.5,125.64,43564,45.54
2026-06-04,123.3,127.0,123.3,125.69,37755,52.94
2026-06-05,124.29,134.25,124.29,132.7,106360,46.85
2026-06-08,134.54,136.0,127.5,128.91,63710,56.39
2026-06-09,127.25,139.48,127.25,135.68,119016,45.63
2026-06-10,135.68,137.0,131.67,134.44,48938,57.5
2026-06-11,134.44,134.44,127.75,128.91,45674,57.84
2026-06-12,129.06,135.24,128.7,134.51,72317,55.81
2026-06-15,139.0,140.97,135.2,139.03,71987,57.0
2026-06-16,138.96,140.09,136.29,136.97,36493,52.42
2026-06-17,136.42,139.19,132.36,133.69,58106,65.32
2026-06-18,134.16,134.59,130.2,132.74,32094,56.06
2026-06-19,131.78,135.0,131.02,133.32,33490,60.67
2026-06-22,133.32,136.19,132.34,134.23,36497,61.73
2026-06-23,134.29,135.89,128.41,131.57,54606,53.7
2026-06-24,130.92,133.24,127.22,129.57,88295,72.73
2026-06-25,129.92,131.59,125.0,128.61,55967,67.42
2026-06-26,129.92,131.59,125.0,128.61,55967,67.42
2026-06-29,128.61,133.36,127.41,131.62,41432,73.53
2026-06-30,135.6,146.29,132.19,138.14,345054,28.86
2026-07-01,137.0,141.78,135.13,135.59,80348,52.97
2026-07-02,136.0,146.94,134.9,145.9,198261,49.1
2026-07-03,146.07,147.85,142.0,144.03,64577,58.27
2026-07-06,144.04,145.69,140.0,140.67,27918,50.67
2026-07-07,140.67,143.49,137.0,140.68,30812,48.69
2026-07-08,140.5,147.74,137.22,143.89,149502,41.43
2026-07-09,143.75,159.69,143.75,153.71,907807,25.49
2026-07-10,159.0,163.94,151.69,154.24,367679,38.77
2026-07-13,150.9,160.4,150.71,155.5,230311,45.45
2026-07-14,154.9,165.44,152.79,153.8,595961,34.41
2026-07-15,155.04,158.0,149.49,150.8,166972,41.88
2026-07-16,150.1,154.04,147.01,148.84,84323,41.8
2026-07-17,149.66,152.5,143.51,150.74,122447,43.06
2026-07-20,152.0,153.38,146.0,146.6,68862,51.01
2026-07-21,146.6,149.0,144.05,146.11,65312,45.64
2026-07-22,146.9,152.0,145.0,146.59,96321,38.96
2026-07-23,145.51,147.5,140.4,140.9,105669,52.93
2026-07-24,140.0,141.71,136.1,140.91,48185,37.95
