DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,419.8,419.8,398.0,410.15,687814,47.49
2025-04-15,417.0,429.0,413.05,420.75,657265,50.1
2025-04-16,414.0,429.0,414.0,421.8,477471,44.73
2025-04-17,421.35,429.95,419.0,427.2,614306,51.54
2025-04-21,430.0,435.0,426.45,432.75,463566,51.4
2025-04-22,435.0,443.8,427.25,436.25,661446,44.08
2025-04-23,438.0,444.8,420.0,433.1,614380,41.47
2025-04-24,431.0,438.8,420.3,421.8,559611,58.12
2025-04-25,422.1,422.7,395.15,402.25,866430,46.91
2025-04-28,401.0,405.0,395.55,398.55,509142,38.44
2025-04-29,402.0,409.95,394.7,396.25,336457,50.09
2025-04-30,396.95,399.0,380.0,381.45,734056,58.68
2025-05-02,385.0,391.0,376.65,380.9,475810,46.98
2025-05-05,384.0,402.0,379.05,397.1,717148,39.13
2025-05-06,397.1,399.7,375.0,378.1,559610,55.36
2025-05-07,363.0,376.0,360.7,362.65,1417171,54.06
2025-05-08,363.95,370.95,356.0,359.25,934641,44.81
2025-05-09,336.0,352.0,336.0,348.35,916309,46.46
2025-05-12,377.8,383.15,363.2,380.75,2658081,54.29
2025-05-13,380.8,418.8,380.4,414.9,2287796,39.37
2025-05-14,421.0,447.15,408.0,437.05,6205881,27.88
2025-05-15,445.0,455.0,431.9,450.8,3829457,32.96
2025-05-16,451.8,453.4,439.0,441.55,1329696,45.02
2025-05-19,443.65,485.7,443.6,485.7,2420414,54.93
2025-05-20,494.8,509.95,478.35,483.25,4560585,29.48
2025-05-21,484.8,484.8,461.1,474.35,1315236,44.77
2025-05-22,472.55,483.35,463.15,467.6,909027,43.27
2025-05-23,469.45,475.95,452.75,463.6,847525,45.17
2025-05-26,468.0,486.0,467.6,470.15,597815,53.84
2025-05-27,471.65,475.0,463.1,469.15,500721,46.78
2025-05-28,473.4,474.3,467.0,468.65,400244,58.32
2025-05-29,472.15,492.05,466.3,492.05,1783200,41.61
2025-05-30,494.0,503.5,484.0,487.85,1659119,43.63
2025-06-02,495.0,497.0,484.1,491.45,788377,46.71
2025-06-03,494.7,496.0,481.0,482.05,526093,59.32
2025-06-04,482.05,506.15,480.0,505.55,3147412,36.58
2025-06-05,505.55,511.9,499.6,503.45,1122314,40.61
2025-06-06,510.0,528.4,507.15,519.65,2881843,34.17
2025-06-09,523.0,528.8,510.4,514.05,1178679,50.55
2025-06-10,519.05,524.5,514.8,518.2,654582,52.76
2025-06-11,520.5,544.95,519.65,529.35,2154981,42.08
2025-06-12,530.75,533.2,505.55,507.95,1219891,45.26
2025-06-13,495.0,507.15,485.1,498.8,872333,46.91
2025-06-16,494.0,502.0,477.0,497.15,813860,37.48
2025-06-17,497.0,501.0,486.0,487.05,574414,52.55
2025-06-18,486.0,492.5,477.25,480.65,558238,43.36
2025-06-19,481.05,483.2,465.0,467.9,925684,44.04
2025-06-20,467.9,487.7,467.0,478.7,920364,39.15
2025-06-23,466.65,482.0,466.65,478.4,553877,39.2
2025-06-24,485.0,503.55,483.55,493.3,1177525,41.75
2025-06-25,497.05,506.45,494.4,498.55,835594,41.72
2025-06-26,501.0,504.5,495.05,497.15,469554,52.21
2025-06-27,499.85,502.4,492.0,495.1,611539,53.27
2025-06-30,498.0,520.0,498.0,514.65,1492413,47.45
2025-07-01,517.0,531.8,516.95,528.85,1177759,58.73
2025-07-02,531.8,538.0,511.65,514.8,855139,50.91
2025-07-03,516.0,521.75,510.45,513.25,424817,51.6
2025-07-04,514.9,521.9,504.3,517.35,774144,35.93
2025-07-07,520.05,526.05,511.5,512.95,594850,40.7
2025-07-08,512.9,516.9,502.05,507.2,450605,46.06
2025-07-09,509.1,533.5,508.45,517.35,1198174,41.84
2025-07-10,519.65,535.05,518.15,534.15,1162772,53.49
2025-07-11,534.95,539.5,518.6,521.25,965614,45.43
2025-07-14,522.25,534.4,514.45,527.35,764410,41.28
2025-07-15,530.0,552.8,530.0,540.05,1707935,38.5
2025-07-16,542.95,563.0,537.0,556.45,2630033,39.06
2025-07-17,557.5,558.4,546.45,551.35,845169,52.85
2025-07-18,553.9,556.8,543.65,547.7,762649,43.44
2025-07-21,549.8,555.0,540.8,546.7,731572,45.53
2025-07-22,546.7,554.5,534.15,542.4,620353,42.01
