DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,213.11,218.5,213.11,216.84,23487,47.73
2025-04-15,218.7,224.5,218.05,224.0,3910,79.13
2025-04-16,225.89,225.9,222.12,224.53,4114,92.44
2025-04-17,224.54,226.82,222.9,225.9,17632,93.23
2025-04-21,226.0,230.69,226.0,230.07,9079,78.16
2025-04-22,233.98,233.98,230.07,232.97,7984,93.24
2025-04-23,233.71,236.13,231.61,235.05,2867,81.2
2025-04-24,235.01,236.92,234.51,234.96,7040,91.59
2025-04-25,235.83,235.83,228.18,230.62,6480,73.8
2025-04-28,231.78,233.74,230.17,233.19,7115,93.01
2025-04-29,240.19,240.19,233.64,234.47,11753,97.0
2025-04-30,234.0,235.5,233.25,233.58,1875,78.88
2025-05-02,234.74,235.9,232.29,233.23,6140,70.77
2025-05-05,234.54,236.92,234.34,236.18,3564,78.2
2025-05-06,238.0,238.0,232.11,232.75,3093,57.1
2025-05-07,231.59,235.07,191.97,234.26,42646,52.1
2025-05-08,235.43,236.85,231.16,232.89,7939,60.7
2025-05-09,231.16,233.0,229.24,232.53,4417,88.79
2025-05-12,236.62,240.39,236.33,239.74,13602,83.95
2025-05-13,240.56,241.71,239.45,240.27,7461,39.85
2025-05-14,240.44,242.55,240.29,241.96,2160,74.26
2025-05-15,242.6,245.0,237.53,244.71,5463,78.66
2025-05-16,245.0,248.15,245.0,247.8,4162,61.58
2025-05-19,247.82,249.7,246.26,247.9,5898,69.43
2025-05-20,247.9,248.94,244.12,244.84,5915,55.86
2025-05-21,244.84,246.62,243.59,246.1,3332,86.64
2025-05-22,246.1,246.1,244.38,245.39,4179,90.64
2025-05-23,245.29,249.7,245.14,245.9,5444,57.02
2025-05-26,250.0,250.0,246.07,246.72,1976,77.43
2025-05-27,247.95,248.87,246.15,248.39,5913,64.62
2025-05-28,248.4,249.54,247.69,248.19,6254,90.04
2025-05-29,248.19,249.85,247.75,249.72,4954,92.01
2025-05-30,249.85,249.85,248.01,249.1,4782,77.27
2025-06-02,249.1,249.54,247.15,248.38,29319,99.57
2025-06-03,249.62,249.81,247.5,247.74,7271,85.12
2025-06-04,248.98,251.42,248.0,250.52,3352,63.84
2025-06-05,250.53,252.0,250.32,251.97,5635,80.62
2025-06-06,259.53,259.53,250.9,252.69,16951,80.19
2025-06-09,254.9,258.33,253.33,256.09,3197,82.67
2025-06-10,255.3,257.44,255.29,256.51,6287,71.39
2025-06-11,256.7,257.78,255.61,256.15,13842,60.44
2025-06-12,258.38,258.38,251.0,252.67,8677,46.27
2025-06-13,251.79,251.79,248.01,251.53,3784,64.3
2025-06-16,251.71,253.44,249.0,253.25,2885,55.74
2025-06-17,258.3,258.3,251.85,252.57,5586,90.14
2025-06-18,252.15,253.36,250.67,251.15,1973,51.29
2025-06-19,251.16,251.93,246.9,247.42,1876,91.63
2025-06-20,248.42,250.27,247.35,250.17,1337,61.26
2025-06-23,250.18,251.2,247.26,250.75,3369,52.95
2025-06-24,252.22,252.79,250.56,251.57,2863,57.14
2025-06-25,252.82,252.97,251.57,252.63,22482,51.83
2025-06-26,252.63,253.05,251.25,252.91,7672,20.72
2025-06-27,253.55,255.79,253.54,255.2,4500,82.71
2025-06-30,256.47,256.74,254.32,256.31,5401,61.04
2025-07-01,257.35,257.71,254.01,255.54,2535,88.13
2025-07-02,256.5,256.5,252.93,255.23,6740,75.09
2025-07-03,254.23,256.5,254.23,255.73,7285,59.26
2025-07-04,255.72,257.86,255.55,256.57,5142,71.53
2025-07-07,257.99,257.99,255.2,255.85,3503,47.13
2025-07-08,259.58,259.58,255.0,256.48,1915,61.62
2025-07-09,256.7,257.13,255.65,256.81,1345,72.94
2025-07-10,260.45,260.45,254.83,255.68,3972,61.61
2025-07-11,255.57,255.96,252.88,254.1,3188,63.93
2025-07-14,253.46,254.45,252.31,254.11,2703,49.69
2025-07-15,254.97,258.01,254.96,256.9,11117,49.62
2025-07-16,256.85,257.75,256.18,256.93,1018,75.15
2025-07-17,264.64,264.64,255.91,255.99,3822,63.81
2025-07-18,256.0,257.58,255.0,255.48,2658,94.88
2025-07-21,255.31,257.6,254.45,257.47,1680,76.96
2025-07-22,257.16,257.16,255.42,255.75,2953,71.72
2025-07-23,256.72,256.72,254.03,254.83,10798,54.85
2025-07-24,254.84,255.5,252.66,252.83,11539,53.62
2025-07-25,253.99,253.99,249.9,250.01,3182,93.53
2025-07-28,250.6,251.74,248.26,248.61,4563,52.36
2025-07-29,248.57,251.12,246.99,249.72,15524,91.77
2025-07-30,249.72,252.13,249.72,252.05,3654,49.37
2025-07-31,244.49,252.05,244.49,250.0,7426,90.1
2025-08-01,251.75,251.75,247.29,247.63,2135,89.13
2025-08-04,241.43,251.13,241.43,249.31,9888,87.77
2025-08-05,256.79,256.79,247.94,248.35,2683,83.56
2025-08-06,248.35,248.35,246.0,246.2,1848,94.75
2025-08-07,246.2,247.27,243.58,246.53,4208,69.96
2025-08-08,250.96,250.96,242.79,243.22,4533,93.36
2025-08-11,235.92,244.46,235.92,244.21,5141,48.26
2025-08-12,244.2,244.69,243.0,243.18,2458,49.92
2025-08-13,243.51,244.69,243.5,244.64,826,96.0
2025-08-14,244.85,245.24,244.08,244.62,1701,65.9
2025-08-18,247.44,248.29,245.52,247.02,6351,57.36
2025-08-19,247.78,249.24,247.02,249.1,7161,76.93
2025-08-20,249.24,251.5,249.24,250.54,7483,54.87
2025-08-21,250.6,252.67,249.23,250.35,29766,56.99
2025-08-22,251.6,251.61,249.23,249.68,1277,76.66
2025-08-25,250.5,251.94,249.35,249.35,5751,61.73
2025-08-26,247.79,250.48,246.63,247.83,1619,76.03
2025-08-28,249.07,249.07,243.04,243.38,9142,63.6
2025-08-29,243.96,244.92,241.8,243.23,2065,78.69
2025-09-01,243.62,247.98,243.54,247.92,11406,56.85
2025-09-02,247.92,249.24,247.06,247.67,1143,84.43
2025-09-03,247.68,249.69,246.0,248.69,2848,63.59
2025-09-04,248.7,250.48,248.12,248.84,1146,81.15
2025-09-05,249.99,249.99,246.0,246.27,5411,51.14
2025-09-08,252.7,252.7,246.26,246.78,21915,37.48
2025-09-09,246.79,248.17,246.78,248.1,1607,92.22
2025-09-10,249.91,251.72,249.91,251.3,2968,84.27
2025-09-11,257.7,257.7,250.96,251.42,13426,50.64
2025-09-12,251.97,253.16,251.8,252.04,9892,97.7
2025-09-15,256.39,256.39,251.64,252.6,9253,53.33
2025-09-16,257.21,257.21,253.32,254.82,1185,83.71
2025-09-17,254.81,256.62,254.81,255.37,3411,83.93
2025-09-18,256.59,256.67,255.02,256.45,9577,72.25
2025-09-19,256.25,256.72,254.29,255.11,25507,96.4
2025-09-22,259.02,259.02,252.2,252.93,3908,59.19
2025-09-23,253.63,253.63,250.47,251.54,2753,94.08
2025-09-24,250.5,251.41,249.39,249.53,4484,59.88
2025-09-25,250.64,250.86,247.61,247.87,3645,70.15
2025-09-26,247.87,247.87,243.04,243.36,11342,82.08
2025-09-29,245.0,245.51,242.5,243.51,4288,92.96
2025-09-30,243.89,248.0,240.67,242.43,19254,67.47
2025-10-01,240.0,249.7,235.16,244.06,15870,80.83
2025-10-03,244.06,248.25,236.74,247.29,14890,44.59
2025-10-06,247.85,249.24,246.7,248.97,7198,72.49
2025-10-07,255.19,255.19,248.35,249.28,15984,63.22
2025-10-08,250.25,250.27,248.0,248.4,1896,91.09
2025-10-09,255.85,255.85,248.34,250.29,1542,81.0
