DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,27353.95,,,
2026-07-07,27343.5,,,
2026-07-08,26733.4,,,
2026-07-09,26676.35,,,
2026-07-10,26860.75,,,
2026-07-13,26981.5,,,
2026-07-14,26547.5,,,
2026-07-15,26645.1,,,
2026-07-16,26767.55,,,
2026-07-17,27099.75,26777.15,27120.75,26765.75
2026-07-20,27028.35,27103.1,27103.1,26806.05
2026-07-21,27280.6,27031.8,27328.5,26912.25
2026-07-22,27329.65,27348.7,27549.35,27280.05
2026-07-23,27520.8,27262.45,27760.65,27230.45
2026-07-24,27217.95,27350.75,27353.2,27032.0
2026-07-27,27653.4,27443.65,27675.55,27365.25
2026-07-28,27843.9,27604.3,27916.85,27559.2
2026-07-29,27825.95,27935.2,28135.5,27731.0
2026-07-30,28279.1,27841.25,28326.0,27720.25
2026-07-31,28744.15,28550.95,28871.65,28168.0
