DATE,CLOSE,OPEN,HIGH,LOW
2026-07-06,50196.35,,,
2026-07-07,50225.85,,,
2026-07-08,48977.4,,,
2026-07-09,49350.15,,,
2026-07-10,49310.6,,,
2026-07-13,48809.9,,,
2026-07-14,48524.95,,,
2026-07-15,48286.5,,,
2026-07-16,48408.0,,,
2026-07-17,48748.7,48356.45,48842.1,48160.0
2026-07-20,49067.45,48800.55,49141.15,48601.8
2026-07-21,48917.2,49134.35,49251.0,48722.3
2026-07-22,49233.8,48900.4,49362.7,48643.1
2026-07-23,49033.2,49216.15,49478.7,48871.7
2026-07-24,49053.3,48739.2,49244.55,48692.1
2026-07-27,49564.8,49520.75,49748.2,49409.6
2026-07-28,48881.2,49565.4,50063.4,48661.95
2026-07-29,49690.65,49233.2,49867.5,49051.35
2026-07-30,49642.05,49702.35,50035.0,49511.9
2026-07-31,49121.2,49756.4,49769.05,49041.55
